Timestamp,City,Temperature,Humidity,Heat Index,Lat,Lon
2026-04-05 21:00:00,Mandalay,32.4,41,34.0,21.9588,96.0891
2026-04-05 22:00:00,Mandalay,31.3,49,33.7,21.9588,96.0891
2026-04-05 23:00:00,Mandalay,30.6,56,33.7,21.9588,96.0891
2026-04-06 00:00:00,Mandalay,30.5,59,35.0,21.9588,96.0891
2026-04-06 01:00:00,Mandalay,29.8,63,34.4,21.9588,96.0891
2026-04-06 02:00:00,Mandalay,29.1,70,34.3,21.9588,96.0891
2026-04-06 03:00:00,Mandalay,28.8,69,32.8,21.9588,96.0891
2026-04-06 04:00:00,Mandalay,28.4,71,32.2,21.9588,96.0891
2026-04-06 05:00:00,Mandalay,28.3,72,32.8,21.9588,96.0891
2026-04-06 06:00:00,Mandalay,28.1,73,31.8,21.9588,96.0891
2026-04-06 07:00:00,Mandalay,28.6,70,31.6,21.9588,96.0891
2026-04-06 08:00:00,Mandalay,30.2,63,32.6,21.9588,96.0891
2026-04-06 09:00:00,Mandalay,32.2,54,34.4,21.9588,96.0891
2026-04-06 10:00:00,Mandalay,34.2,47,37.3,21.9588,96.0891
2026-04-06 11:00:00,Mandalay,35.8,42,39.8,21.9588,96.0891
2026-04-06 12:00:00,Mandalay,36.9,38,40.9,21.9588,96.0891
2026-04-06 13:00:00,Mandalay,38.0,34,42.2,21.9588,96.0891
2026-04-06 14:00:00,Mandalay,38.4,31,41.3,21.9588,96.0891
2026-04-06 15:00:00,Mandalay,38.0,31,39.5,21.9588,96.0891
2026-04-06 16:00:00,Mandalay,37.8,30,39.0,21.9588,96.0891
2026-04-06 17:00:00,Mandalay,36.8,32,38.2,21.9588,96.0891
2026-04-06 18:00:00,Mandalay,35.3,37,37.8,21.9588,96.0891
2026-04-06 19:00:00,Mandalay,33.3,45,35.6,21.9588,96.0891
2026-04-06 20:00:00,Mandalay,31.6,54,35.3,21.9588,96.0891
2026-04-06 21:00:00,Mandalay,31.1,59,35.8,21.9588,96.0891
2026-04-06 22:00:00,Mandalay,30.0,64,34.7,21.9588,96.0891
2026-04-06 23:00:00,Mandalay,29.5,67,34.4,21.9588,96.0891
2026-04-07 00:00:00,Mandalay,29.1,69,34.0,21.9588,96.0891
2026-04-07 01:00:00,Mandalay,28.8,71,34.0,21.9588,96.0891
2026-04-07 02:00:00,Mandalay,28.1,73,33.0,21.9588,96.0891
2026-04-07 03:00:00,Mandalay,27.7,74,32.5,21.9588,96.0891
2026-04-07 04:00:00,Mandalay,27.3,75,32.1,21.9588,96.0891
2026-04-07 05:00:00,Mandalay,27.1,76,31.5,21.9588,96.0891
2026-04-07 06:00:00,Mandalay,26.9,78,31.1,21.9588,96.0891
2026-04-07 07:00:00,Mandalay,27.9,72,31.6,21.9588,96.0891
2026-04-07 08:00:00,Mandalay,29.6,63,32.4,21.9588,96.0891
2026-04-07 09:00:00,Mandalay,31.2,56,33.6,21.9588,96.0891
2026-04-07 10:00:00,Mandalay,32.7,51,35.6,21.9588,96.0891
2026-04-07 11:00:00,Mandalay,34.3,47,38.2,21.9588,96.0891
2026-04-07 12:00:00,Mandalay,35.1,45,39.6,21.9588,96.0891
2026-04-07 13:00:00,Mandalay,34.8,47,39.6,21.9588,96.0891
2026-04-07 14:00:00,Mandalay,33.8,52,38.0,21.9588,96.0891
2026-04-07 15:00:00,Mandalay,32.8,56,36.5,21.9588,96.0891
2026-04-07 16:00:00,Mandalay,32.3,57,35.4,21.9588,96.0891
2026-04-07 17:00:00,Mandalay,31.7,56,34.1,21.9588,96.0891
2026-04-07 18:00:00,Mandalay,31.0,57,33.0,21.9588,96.0891
2026-04-07 19:00:00,Mandalay,29.7,60,31.5,21.9588,96.0891
2026-04-07 20:00:00,Mandalay,28.1,63,29.8,21.9588,96.0891
2026-04-07 21:00:00,Mandalay,26.9,66,28.6,21.9588,96.0891
2026-04-07 22:00:00,Mandalay,26.4,66,28.2,21.9588,96.0891
2026-04-07 23:00:00,Mandalay,26.3,66,28.4,21.9588,96.0891
2026-04-08 00:00:00,Mandalay,26.0,66,28.4,21.9588,96.0891
2026-04-08 01:00:00,Mandalay,25.5,69,28.2,21.9588,96.0891
2026-04-08 02:00:00,Mandalay,24.9,73,28.0,21.9588,96.0891
2026-04-08 03:00:00,Mandalay,24.4,76,27.8,21.9588,96.0891
2026-04-08 04:00:00,Mandalay,24.0,80,27.6,21.9588,96.0891
2026-04-08 05:00:00,Mandalay,23.6,83,27.4,21.9588,96.0891
2026-04-08 06:00:00,Mandalay,23.9,83,27.9,21.9588,96.0891
2026-04-08 07:00:00,Mandalay,25.2,77,29.3,21.9588,96.0891
2026-04-08 08:00:00,Mandalay,27.2,67,30.5,21.9588,96.0891
2026-04-08 09:00:00,Mandalay,29.1,59,31.9,21.9588,96.0891
2026-04-08 10:00:00,Mandalay,30.8,53,33.9,21.9588,96.0891
2026-04-08 11:00:00,Mandalay,32.5,48,36.1,21.9588,96.0891
2026-04-08 12:00:00,Mandalay,33.7,44,37.6,21.9588,96.0891
2026-04-08 13:00:00,Mandalay,34.5,42,38.7,21.9588,96.0891
2026-04-08 14:00:00,Mandalay,34.9,41,39.2,21.9588,96.0891
2026-04-08 15:00:00,Mandalay,34.9,42,38.7,21.9588,96.0891
2026-04-08 16:00:00,Mandalay,34.2,45,37.8,21.9588,96.0891
2026-04-08 17:00:00,Mandalay,33.1,49,36.6,21.9588,96.0891
2026-04-08 18:00:00,Mandalay,31.7,55,35.3,21.9588,96.0891
2026-04-08 19:00:00,Mandalay,29.9,63,34.1,21.9588,96.0891
2026-04-08 20:00:00,Mandalay,27.9,72,32.6,21.9588,96.0891
2026-04-08 21:00:00,Mandalay,26.3,79,31.3,21.9588,96.0891
2026-04-08 22:00:00,Mandalay,25.6,83,30.6,21.9588,96.0891
2026-04-08 23:00:00,Mandalay,25.4,86,30.3,21.9588,96.0891
2026-04-09 00:00:00,Mandalay,25.3,87,30.1,21.9588,96.0891
2026-04-09 01:00:00,Mandalay,26.0,88,31.7,21.9588,96.0891
2026-04-09 02:00:00,Mandalay,25.8,88,31.4,21.9588,96.0891
2026-04-09 03:00:00,Mandalay,25.5,88,30.6,21.9588,96.0891
2026-04-09 04:00:00,Mandalay,24.9,89,29.5,21.9588,96.0891
2026-04-09 05:00:00,Mandalay,24.3,90,28.4,21.9588,96.0891
2026-04-09 06:00:00,Mandalay,24.4,88,28.3,21.9588,96.0891
2026-04-09 07:00:00,Mandalay,25.6,81,29.8,21.9588,96.0891
2026-04-09 08:00:00,Mandalay,27.5,71,31.5,21.9588,96.0891
2026-04-09 09:00:00,Mandalay,29.3,63,32.8,21.9588,96.0891
2026-04-09 10:00:00,Mandalay,30.8,58,34.8,21.9588,96.0891
2026-04-09 11:00:00,Mandalay,32.1,54,36.4,21.9588,96.0891
2026-04-09 12:00:00,Mandalay,33.1,50,37.4,21.9588,96.0891
2026-04-09 13:00:00,Mandalay,34.0,46,38.0,21.9588,96.0891
2026-04-09 14:00:00,Mandalay,34.6,43,38.2,21.9588,96.0891
2026-04-09 15:00:00,Mandalay,34.8,40,37.4,21.9588,96.0891
2026-04-09 16:00:00,Mandalay,34.7,38,36.7,21.9588,96.0891
2026-04-09 17:00:00,Mandalay,34.2,36,35.8,21.9588,96.0891
2026-04-09 18:00:00,Mandalay,33.2,38,34.9,21.9588,96.0891
2026-04-09 19:00:00,Mandalay,31.5,46,33.9,21.9588,96.0891
2026-04-09 20:00:00,Mandalay,29.4,58,32.2,21.9588,96.0891
2026-04-09 21:00:00,Mandalay,27.8,67,30.6,21.9588,96.0891
2026-04-09 22:00:00,Mandalay,27.0,72,30.3,21.9588,96.0891
2026-04-09 23:00:00,Mandalay,26.6,75,30.6,21.9588,96.0891
2026-04-10 00:00:00,Mandalay,26.2,77,30.5,21.9588,96.0891
2026-04-10 01:00:00,Mandalay,25.7,79,30.0,21.9588,96.0891
2026-04-10 02:00:00,Mandalay,25.3,80,29.4,21.9588,96.0891
2026-04-10 03:00:00,Mandalay,24.9,82,29.1,21.9588,96.0891
